name_of_project,title_of_press_release,telegram_1,telegram_1_name,telegram_1_is_group,tg admin 1 name,tg admin 1 username,tg admin 1 contact url,tg admin 1 status,tg admin 2 name,tg admin 2 username,tg admin 2 contact url,tg admin 2 status,tg admin 3 name,tg admin 3 username,tg admin 3 contact url,tg admin 3 status,tg admin 4 name,tg admin 4 username,tg admin 4 contact url,tg admin 4 status,tg admin 5 name,tg admin 5 username,tg admin 5 contact url,tg admin 5 status,tg admin 6 name,tg admin 6 username,tg admin 6 contact url,tg admin 6 status,tg admin 7 name,tg admin 7 username,tg admin 7 contact url,tg admin 7 status,tg admin 8 name,tg admin 8 username,tg admin 8 contact url,tg admin 8 status,tg admin 9 name,tg admin 9 username,tg admin 9 contact url,tg admin 9 status,tg admin 10 name,tg admin 10 username,tg admin 10 contact url,tg admin 10 status,tg admin 11 name,tg admin 11 username,tg admin 11 contact url,tg admin 11 status,tg admin 12 name,tg admin 12 username,tg admin 12 contact url,tg admin 12 status,tg admin 13 name,tg admin 13 username,tg admin 13 contact url,tg admin 13 status,tg admin 14 name,tg admin 14 username,tg admin 14 contact url,tg admin 14 status,tg admin 15 name,tg admin 15 username,tg admin 15 contact url,tg admin 15 status,tg admin 16 name,tg admin 16 username,tg admin 16 contact url,tg admin 16 status,tg admin 17 name,tg admin 17 username,tg admin 17 contact url,tg admin 17 status,tg admin 18 name,tg admin 18 username,tg admin 18 contact url,tg admin 18 status,tg admin 19 name,tg admin 19 username,tg admin 19 contact url,tg admin 19 status,tg admin 20 name,tg admin 20 username,tg admin 20 contact url,tg admin 20 status,tg admin 21 name,tg admin 21 username,tg admin 21 contact url,tg admin 21 status,tg admin 22 name,tg admin 22 username,tg admin 22 contact url,tg admin 22 status,tg admin 23 name,tg admin 23 username,tg admin 23 contact url,tg admin 23 status,tg admin 24 name,tg admin 24 username,tg admin 24 contact url,tg admin 24 status,tg admin 25 name,tg admin 25 username,tg admin 25 contact url,tg admin 25 status,tg admin 26 name,tg admin 26 username,tg admin 26 contact url,tg admin 26 status,tg admin 27 name,tg admin 27 username,tg admin 27 contact url,tg admin 27 status,tg admin 28 name,tg admin 28 username,tg admin 28 contact url,tg admin 28 status,tg admin 29 name,tg admin 29 username,tg admin 29 contact url,tg admin 29 status,tg admin 30 name,tg admin 30 username,tg admin 30 contact url,tg admin 30 status,tg admin 31 name,tg admin 31 username,tg admin 31 contact url,tg admin 31 status,tg admin 32 name,tg admin 32 username,tg admin 32 contact url,tg admin 32 status,tg admin 33 name,tg admin 33 username,tg admin 33 contact url,tg admin 33 status,tg admin 34 name,tg admin 34 username,tg admin 34 contact url,tg admin 34 status,tg admin 35 name,tg admin 35 username,tg admin 35 contact url,tg admin 35 status,tg admin 36 name,tg admin 36 username,tg admin 36 contact url,tg admin 36 status,tg admin 37 name,tg admin 37 username,tg admin 37 contact url,tg admin 37 status,tg admin 38 name,tg admin 38 username,tg admin 38 contact url,tg admin 38 status
Bitcoinist,Globe Listing on AscendEX,https://t.me/AscendEXEnglish,AscendEX (formerly BitMax) English Official,True,Sagor {I WELL NEVER DM YOU FOR MONEY},Smsagor7,https://t.me/Smsagor7,UserStatusRecently(),Mary Zheng,MaryZheng,https://t.me/MaryZheng,UserStatusRecently(),Malina Saiming,MalinaSaiming,https://t.me/MalinaSaiming,UserStatusRecently(),Jay Kubert | AscendEX (BitMax) - Sr. BD,jaykubert,https://t.me/jaykubert,UserStatusRecently(),Owlbe [ will not message you first without a reason],owlbe,https://t.me/owlbe,UserStatusRecently(),Manny - i ɴᴇᴠᴇʀ ᴘᴍ ғɪʀsᴛ!!!,MannyMcoy,https://t.me/MannyMcoy,UserStatusRecently(),784959E7 👽 | I will never PM you first |,yetmissekiz,https://t.me/yetmissekiz,UserStatusRecently(),Shane Molidor - AscendEX (BitMax),shanemolidor,https://t.me/shanemolidor,UserStatusRecently(),Blasco | I will never PM you first! | 🤖,dblama,https://t.me/dblama,UserStatusRecently(),AscendEX Support (won't PM you first),AscendEX_Official,https://t.me/AscendEX_Official,UserStatusRecently(),Jasmine,jasminema,https://t.me/jasminema,UserStatusRecently(),George Cao,BmaxHeat,https://t.me/BmaxHeat,UserStatusRecently(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bitcoinist,Globe Listing on AscendEX,https://t.me/globeofficial,Globe Exchange Community,True,Nikhil Sharma,Nikhilalahar,https://t.me/Nikhilalahar,UserStatusRecently(),Borjas – Will never DM first.,Borjas97,https://t.me/Borjas97,UserStatusRecently(),Sánchez (WON'T ASK FOR FUNDS),Prophame,https://t.me/Prophame,UserStatusRecently(),Ina,nia777,https://t.me/nia777,UserStatusRecently(),C M ( Never ask for Funds ),Shenzhe,https://t.me/Shenzhe,UserStatusRecently(),Lim ❣️ ( I will never send PM first and ask for money ),xanlim,https://t.me/xanlim,UserStatusRecently(),Bhavin,BhavinGala,https://t.me/BhavinGala,UserStatusRecently(),Divij,divij33,https://t.me/divij33,UserStatusRecently(),Paul,pnawf,https://t.me/pnawf,UserStatusLastMonth(),Shaun,Shaun_Globe,https://t.me/Shaun_Globe,UserStatusRecently(),James,jawestt,https://t.me/jawestt,UserStatusRecently(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bitcoinist,Introducing CoinWind: Smart Yield Optimizer on BSC and HECO,https://t.me/CoinWind,CoinWind Official,True,Stima Pablo ☆,stimatec,https://t.me/stimatec,UserStatusRecently(),Musk @CoinWind,Musk_CoinWind,https://t.me/Musk_CoinWind,UserStatusRecently(),Gabriel,Toyemikky,https://t.me/Toyemikky,UserStatusRecently(),Patrick Star,Patrickcha,https://t.me/Patrickcha,UserStatusRecently(),Alexander Golubtsov,AlexanderGolubtsov,https://t.me/AlexanderGolubtsov,UserStatusRecently(),Sam Jia,SamJia,https://t.me/SamJia,UserStatusRecently(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bitcoinist,Introducing CoinWind: Smart Yield Optimizer on BSC and HECO,https://t.me/coinwind_cn,CoinWind中文官方社群,True,Musk @CoinWind,Musk_CoinWind,https://t.me/Musk_CoinWind,UserStatusRecently(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bitcoinist,MUNCH Project Reaches $1 Million Milestone in Charitable Donations,https://t.me/munchtokencom,$MUNCH Donation Project,True,Matt Griffen,izMatty,https://t.me/izMatty,UserStatusRecently(),Mr Wonderful,dr_wonderful,https://t.me/dr_wonderful,UserStatusRecently(),Philipp,Vaginosaurus,https://t.me/Vaginosaurus,UserStatusRecently(),Tonyyyy,tonymunch,https://t.me/tonymunch,UserStatusRecently(),Mike,MS3081,https://t.me/MS3081,UserStatusRecently(),Sully Cortez,SullyCortez,https://t.me/SullyCortez,UserStatusRecently(),Bullet Dada,bulletdada,https://t.me/bulletdada,UserStatusRecently(),Marco,menatii,https://t.me/menatii,UserStatusRecently(),Joseph Rogers,vfljoe,https://t.me/vfljoe,UserStatusRecently(),Bruce Vain,bruce_vain,https://t.me/bruce_vain,UserStatusRecently(),Pete Martin * will never ask for Money*,Stoopz1,https://t.me/Stoopz1,UserStatusRecently(),Demps,dempsjo,https://t.me/dempsjo,UserStatusRecently(),The Answer,the1answer,https://t.me/the1answer,UserStatusRecently(),Dagger,grandbreezy,https://t.me/grandbreezy,UserStatusRecently(),Crypto Dreamer (DO NOT SEND ME ETH),CryptoDreamr,https://t.me/CryptoDreamr,UserStatusRecently(),J F *Do not send me ETH*,JFdripped,https://t.me/JFdripped,UserStatusRecently(),Ro🇮🇪🇮🇪 ** will never ask for money **,RoughanDublin,https://t.me/RoughanDublin,UserStatusRecently(),Rodrigo Silva * Don’t send me ETH *,rodresendesilva,https://t.me/rodresendesilva,UserStatusRecently(),Don Rafaello,cryptorafaello,https://t.me/cryptorafaello,UserStatusRecently(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bitcoinist,CasperLabs Listing On AscendEX,https://t.me/AscendEXEnglish,AscendEX (formerly BitMax) English Official,True,Sagor {I WELL NEVER DM YOU FOR MONEY},Smsagor7,https://t.me/Smsagor7,UserStatusRecently(),Mary Zheng,MaryZheng,https://t.me/MaryZheng,UserStatusRecently(),Malina Saiming,MalinaSaiming,https://t.me/MalinaSaiming,UserStatusRecently(),Jay Kubert | AscendEX (BitMax) - Sr. BD,jaykubert,https://t.me/jaykubert,UserStatusRecently(),Owlbe [ will not message you first without a reason],owlbe,https://t.me/owlbe,UserStatusRecently(),Manny - i ɴᴇᴠᴇʀ ᴘᴍ ғɪʀsᴛ!!!,MannyMcoy,https://t.me/MannyMcoy,UserStatusRecently(),784959E7 👽 | I will never PM you first |,yetmissekiz,https://t.me/yetmissekiz,UserStatusRecently(),Shane Molidor - AscendEX (BitMax),shanemolidor,https://t.me/shanemolidor,UserStatusRecently(),Bonna Zhu,BonnaZhu,https://t.me/BonnaZhu,UserStatusRecently(),žiga,o2ziga,https://t.me/o2ziga,UserStatusRecently(),Blasco | I will never PM you first! | 🤖,dblama,https://t.me/dblama,UserStatusRecently(),AscendEX Support (won't PM you first),AscendEX_Official,https://t.me/AscendEX_Official,UserStatusRecently(),Jasmine,jasminema,https://t.me/jasminema,UserStatusRecently(),George Cao,BmaxHeat,https://t.me/BmaxHeat,UserStatusRecently(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bitcoinist,CasperLabs Listing On AscendEX,https://t.me/casperblockchain,Casper,True,Ralf Kubli,rrkubli,https://t.me/rrkubli,UserStatusRecently(),Caroline AmaZix,Caroline_AmaZix,https://t.me/Caroline_AmaZix,UserStatusRecently(),Matt AmaZix,mattmazix,https://t.me/mattmazix,UserStatusRecently(),Hayley Howe,hayleyhowe,https://t.me/hayleyhowe,UserStatusRecently(),Stark AmaZix,iamgekko,https://t.me/iamgekko,UserStatusRecently(),The Crypto Sheikh,DeFiSheikh,https://t.me/DeFiSheikh,UserStatusRecently(),Carlo AmaZix,Catch21,https://t.me/Catch21,UserStatusRecently(),Ian AmaZix,Ian_D_UK,https://t.me/Ian_D_UK,UserStatusRecently(),Larry AmaZix,heelaree,https://t.me/heelaree,UserStatusRecently(),Joshua AmaZix,JanuaryN,https://t.me/JanuaryN,UserStatusRecently(),Nexy AmaZix,NexyAma,https://t.me/NexyAma,UserStatusRecently(),Diogo AmaZix,obsAmaZix,https://t.me/obsAmaZix,UserStatusRecently(),Wil AmaZix,WTRLighting,https://t.me/WTRLighting,UserStatusRecently(),Matt Coolidge,mattcoolidge,https://t.me/mattcoolidge,UserStatusRecently(),Joe Davies,HodlShark,https://t.me/HodlShark,UserStatusRecently(),Shyft Shark,ShyftShark,https://t.me/ShyftShark,,Wulf Kaal,Wulfkaal,https://t.me/Wulfkaal,UserStatusRecently(),Bernd Lapp (CoachB),CoachB,https://t.me/CoachB,UserStatusRecently(),Louise.Z,Louise_Z,https://t.me/Louise_Z,UserStatusRecently(),Neil Kapoor,neil_kapoor,https://t.me/neil_kapoor,UserStatusRecently(),Cliff Sarkin,CryptoEscobar,https://t.me/CryptoEscobar,UserStatusRecently(),Scott Walker,scottwalker99,https://t.me/scottwalker99,UserStatusRecently(),Ojimadu,OjimaduChidindu,https://t.me/OjimaduChidindu,UserStatusRecently(),Mrinal Manohar,mrinalmanohar,https://t.me/mrinalmanohar,UserStatusRecently(),Medha | CTO Non-asker of coin,MParlikar,https://t.me/MParlikar,UserStatusRecently(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bitcoinist,Award-winning Carbon Broker to Assist XELS with Offset Procurement and Strategy,https://t.me/xelscoin,XELS Community,True,Admin XELS,XELSAdmin,https://t.me/XELSAdmin,UserStatusRecently(),Jack,ddsirs3,https://t.me/ddsirs3,UserStatusRecently(),Destiny,hohoemii,https://t.me/hohoemii,UserStatusRecently(),Emi Flint,emiflint,https://t.me/emiflint,UserStatusRecently(),t nojima,twinsparks,https://t.me/twinsparks,UserStatusLastWeek(),Mitch H,mhammer1,https://t.me/mhammer1,UserStatusRecently(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bitcoinist,Smoothy Listing on AscendEX,https://t.me/AscendEXEnglish,AscendEX (formerly BitMax) English Official,True,Sagor {I WELL NEVER DM YOU FOR MONEY},Smsagor7,https://t.me/Smsagor7,UserStatusRecently(),Mary Zheng,MaryZheng,https://t.me/MaryZheng,UserStatusRecently(),Malina Saiming,MalinaSaiming,https://t.me/MalinaSaiming,UserStatusRecently(),Jay Kubert | AscendEX (BitMax) - Sr. BD,jaykubert,https://t.me/jaykubert,UserStatusRecently(),Owlbe [ will not message you first without a reason],owlbe,https://t.me/owlbe,UserStatusRecently(),Manny - i ɴᴇᴠᴇʀ ᴘᴍ ғɪʀsᴛ!!!,MannyMcoy,https://t.me/MannyMcoy,UserStatusRecently(),784959E7 👽 | I will never PM you first |,yetmissekiz,https://t.me/yetmissekiz,UserStatusRecently(),Shane Molidor - AscendEX (BitMax),shanemolidor,https://t.me/shanemolidor,UserStatusRecently(),Bonna Zhu,BonnaZhu,https://t.me/BonnaZhu,UserStatusRecently(),žiga,o2ziga,https://t.me/o2ziga,UserStatusRecently(),Blasco | I will never PM you first! | 🤖,dblama,https://t.me/dblama,UserStatusRecently(),AscendEX Support (won't PM you first),AscendEX_Official,https://t.me/AscendEX_Official,UserStatusRecently(),Jasmine,jasminema,https://t.me/jasminema,UserStatusRecently(),George Cao,BmaxHeat,https://t.me/BmaxHeat,UserStatusRecently(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bitcoinist,Smoothy Listing on AscendEX,https://t.me/Smoothy_finance,Smoothy.finance Community,True,🍒 CHERRY 🍒,cheercherry,https://t.me/cheercherry,UserStatusRecently(),Afolabi,Ask_afolabi,https://t.me/Ask_afolabi,UserStatusRecently(),Wiredideas,wiredideas,https://t.me/wiredideas,UserStatusRecently(),Hiroshi Kun || CM,Hiroshi_KUNN,https://t.me/Hiroshi_KUNN,UserStatusRecently(),Rosè - CM,cryptoann11,https://t.me/cryptoann11,UserStatusRecently(),TokenSuite Eren,tokensuiteeren,https://t.me/tokensuiteeren,UserStatusRecently(),Hwoarang = T7 King,CryptoCapone,https://t.me/CryptoCapone,UserStatusRecently(),Smoothy.finance,SmoothyFinance,https://t.me/SmoothyFinance,UserStatusRecently(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
