name_of_project,title_of_press_release,telegram_1,telegram_1_name,telegram_1_is_group,tg admin 1 name,tg admin 1 username,tg admin 1 contact url,tg admin 1 status,tg admin 2 name,tg admin 2 username,tg admin 2 contact url,tg admin 2 status,tg admin 3 name,tg admin 3 username,tg admin 3 contact url,tg admin 3 status,tg admin 4 name,tg admin 4 username,tg admin 4 contact url,tg admin 4 status,tg admin 5 name,tg admin 5 username,tg admin 5 contact url,tg admin 5 status,tg admin 6 name,tg admin 6 username,tg admin 6 contact url,tg admin 6 status,tg admin 7 name,tg admin 7 username,tg admin 7 contact url,tg admin 7 status,tg admin 8 name,tg admin 8 username,tg admin 8 contact url,tg admin 8 status,tg admin 9 name,tg admin 9 username,tg admin 9 contact url,tg admin 9 status,tg admin 10 name,tg admin 10 username,tg admin 10 contact url,tg admin 10 status,tg admin 11 name,tg admin 11 username,tg admin 11 contact url,tg admin 11 status,tg admin 12 name,tg admin 12 username,tg admin 12 contact url,tg admin 12 status,tg admin 13 name,tg admin 13 username,tg admin 13 contact url,tg admin 13 status,tg admin 14 name,tg admin 14 username,tg admin 14 contact url,tg admin 14 status,tg admin 15 name,tg admin 15 username,tg admin 15 contact url,tg admin 15 status,tg admin 16 name,tg admin 16 username,tg admin 16 contact url,tg admin 16 status,tg admin 17 name,tg admin 17 username,tg admin 17 contact url,tg admin 17 status,tg admin 18 name,tg admin 18 username,tg admin 18 contact url,tg admin 18 status,tg admin 19 name,tg admin 19 username,tg admin 19 contact url,tg admin 19 status,tg admin 20 name,tg admin 20 username,tg admin 20 contact url,tg admin 20 status,tg admin 21 name,tg admin 21 username,tg admin 21 contact url,tg admin 21 status,tg admin 22 name,tg admin 22 username,tg admin 22 contact url,tg admin 22 status,tg admin 23 name,tg admin 23 username,tg admin 23 contact url,tg admin 23 status,tg admin 24 name,tg admin 24 username,tg admin 24 contact url,tg admin 24 status,tg admin 25 name,tg admin 25 username,tg admin 25 contact url,tg admin 25 status,tg admin 26 name,tg admin 26 username,tg admin 26 contact url,tg admin 26 status,tg admin 27 name,tg admin 27 username,tg admin 27 contact url,tg admin 27 status,tg admin 28 name,tg admin 28 username,tg admin 28 contact url,tg admin 28 status,tg admin 29 name,tg admin 29 username,tg admin 29 contact url,tg admin 29 status
CoinTelegraph,Duet Protocol closes first-round funding at $3 million,https://t.me/duetprotocol,DUET PROTOCOL Community,True,Molly,mollyyooyoo,https://t.me/mollyyooyoo,UserStatusRecently(),Ursa Mio,UrsaMio,https://t.me/UrsaMio,UserStatusRecently(),Joe Hisaishi,Joe_Hisaishi,https://t.me/Joe_Hisaishi,UserStatusRecently(),🎵Trinity Tomomi,Satoshi_Freedom,https://t.me/Satoshi_Freedom,UserStatusRecently(),neo carmack,henghengbf,https://t.me/henghengbf,UserStatusRecently(),J. Bach,JBACHCRYPTO,https://t.me/JBACHCRYPTO,UserStatusRecently(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoinTelegraph,NFTmall opens the NFT market for content creators,https://t.me/nftmall,NFTmall.io Official Community,True,Rakib | CEO @ NFTmall.io,wolverinv2,https://t.me/wolverinv2,UserStatusRecently(),Paul | Will never pm you first,Paul_deb,https://t.me/Paul_deb,UserStatusRecently(),White Walker,whitewalkercrypto,https://t.me/whitewalkercrypto,UserStatusRecently(),Crypto Proffa,cryptoproffa,https://t.me/cryptoproffa,UserStatusRecently(),Warchild,Nomad_Warchild,https://t.me/Nomad_Warchild,UserStatusRecently(),Aaron,Aaront035,https://t.me/Aaront035,UserStatusRecently(),PeasantForHire,PeasantForHire,https://t.me/PeasantForHire,UserStatusRecently(),M B,crypto_walk,https://t.me/crypto_walk,UserStatusRecently(),Damiano | NFTmall.io,nftleader,https://t.me/nftleader,UserStatusRecently(),Jaan,Maan987,https://t.me/Maan987,UserStatusRecently(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoinTelegraph,NFTmall opens the NFT market for content creators,https://t.me/nftmallartists,NFT⛓mall🎨🖌Artists,True,Damiano | NFTmall.io,nftleader,https://t.me/nftleader,UserStatusRecently(),Rakib | CEO @ NFTmall.io,wolverinv2,https://t.me/wolverinv2,UserStatusRecently(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoinTelegraph,ONI.exchange is going to be one of the biggest DeFi launches this year,https://t.me/oni_exchange,ONI.exchange,True,"ONI.exchange Intelligent AMM, NFT & Yield Farm",oniexchange,https://t.me/oniexchange,UserStatusRecently(),Kiran,Kirancr,https://t.me/Kirancr,UserStatusRecently(),Andre,heyheyandrehey,https://t.me/heyheyandrehey,UserStatusRecently(),Joe,Joegee,https://t.me/Joegee,UserStatusRecently(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoinTelegraph,Introducing Polkally: A seamless NFT experience,https://t.me/polkally,Polkally,True,Saurabh(Will not PM you first),Saurabh7599,https://t.me/Saurabh7599,UserStatusRecently(),Christopher ( I WON'T P.M FIRST),Onu46,https://t.me/Onu46,UserStatusRecently(),J0EL || Will Never DM First,Joel95thomas,https://t.me/Joel95thomas,UserStatusRecently(),Asif | Never ASK FOR FUNDS,Rrifa1,https://t.me/Rrifa1,UserStatusRecently(),Tor | GAINS Associates 🐋,Tor_GAINS,https://t.me/Tor_GAINS,UserStatusRecently(),Eric | Exnetwork,ERCSU,https://t.me/ERCSU,UserStatusRecently(),Wolf,wolfonaire,https://t.me/wolfonaire,UserStatusRecently(),Gary Sumner,sendrock,https://t.me/sendrock,UserStatusRecently(),L D,MolotovCoktail,https://t.me/MolotovCoktail,UserStatusRecently(),Virgile / Crypto-Compta-Conseils,virgileccc,https://t.me/virgileccc,UserStatusRecently(),Comrɑde | BlockTɑlks,Comrade02,https://t.me/Comrade02,UserStatusRecently(),Barbonymous,Barbonymous,https://t.me/Barbonymous,UserStatusRecently(),Alex Berg | BlockTalks,HiBlockTalks,https://t.me/HiBlockTalks,UserStatusRecently(),Chris | Polkally,The_adviser7,https://t.me/The_adviser7,UserStatusRecently(),Purple Eye,OeilPourpre,https://t.me/OeilPourpre,UserStatusRecently(),Chloé Bigot | Polkally CEO,chloepolkally,https://t.me/chloepolkally,UserStatusRecently(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoinTelegraph,Troy’s revolutionary products and brokerage services to outplay the crypto market,https://t.me/troytrade_official,"TROY - Redefine Trading, Beyond Exchange",True,Joseph_Troytrade,Troytrade_Joseph,https://t.me/Troytrade_Joseph,UserStatusRecently(),Cora,coravivir,https://t.me/coravivir,UserStatusRecently(),Mike,Mike156,https://t.me/Mike156,,Charlie Chen,charliechen_troy,https://t.me/charliechen_troy,UserStatusRecently(),Paul | TroyTrade.com NEVER DM YOU,enenchestone,https://t.me/enenchestone,UserStatusLastWeek(),Kevin,troytrade,https://t.me/troytrade,UserStatusRecently(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoinTelegraph,KnitFinance closes heavily oversubscribed sale led by leading blockchain investors,https://t.me/knitfinance,KnitFinance,True,⚡ Kien ⚡| Will Never DM You First,extreme2323,https://t.me/extreme2323,UserStatusRecently(),VictorVont™,Victorvont,https://t.me/Victorvont,UserStatusRecently(),Sammy,samdutta4,https://t.me/samdutta4,UserStatusRecently(),CryptoMaster [ KnitFinance ],CryptoMaster21,https://t.me/CryptoMaster21,UserStatusRecently(),Sainath@Knit.Finance Unlocking MultiChain DeFi using Insured Wrapped Assests,SainathG,https://t.me/SainathG,UserStatusRecently(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoinTelegraph,DeFinity to launch IDO on the OccamRazer launchpad,https://t.me/DeFinity_Community,DeFinity [Official],True,Carine,CarieCrypto,https://t.me/CarieCrypto,UserStatusRecently(),Angeli,mmmaaaryyy,https://t.me/mmmaaaryyy,UserStatusRecently(),Rylan,Rycerog,https://t.me/Rycerog,UserStatusRecently(),Corey Billington,CoreyBillington,https://t.me/CoreyBillington,UserStatusRecently(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoinTelegraph,DeFinity to launch IDO on the OccamRazer launchpad,https://t.me/occamfi_com,OccamFi Community Group,True,Leander| OccamFi 🇪🇦| I'll never DM you first,leander_occ,https://t.me/leander_occ,UserStatusRecently(),Kornel | OccamFi 🇵🇱 | I'll never PM you first,cornlg_occ,https://t.me/cornlg_occ,UserStatusRecently(),Thiago Nunes | OccamFi 🇧🇷| admins will never DM first,thiagonunes_occ,https://t.me/thiagonunes_occ,UserStatusRecently(),Aryan | OccamFi |🇩🇪| admins will never DM first,AryanCM,https://t.me/AryanCM,UserStatusRecently(),Ryan|OccamFi🇨🇳|admins will never DM first,ryanice1,https://t.me/ryanice1,UserStatusRecently(),Occam Quiz,occamquiz,https://t.me/occamquiz,UserStatusRecently(),Shaun | OccamFi | I will never PM first |,ShaunOCCAM,https://t.me/ShaunOCCAM,UserStatusRecently(),Steven | OccamFi | i will never pm you first,StevenOCCAM,https://t.me/StevenOCCAM,UserStatusLastMonth(),Uni | Occam.Fi | I Will Never PM You First,uniOCCAM,https://t.me/uniOCCAM,UserStatusRecently(),Gomez | OccamFi (I will never PM you first),GomezOCCAM,https://t.me/GomezOCCAM,UserStatusRecently(),Tiago S,super_duderino,https://t.me/super_duderino,UserStatusRecently(),Daniel Bose,danielbose,https://t.me/danielbose,UserStatusRecently(),Harvey (Admin - will never PM first),harveyish,https://t.me/harveyish,UserStatusRecently(),Peter | OccamFi [I'll never PM you first],PeterOccamFi,https://t.me/PeterOccamFi,UserStatusRecently(),Tatiana A. - Occam.fi,t_occamfi,https://t.me/t_occamfi,UserStatusRecently(),Nicolas | OccamFi,NicolasR94,https://t.me/NicolasR94,UserStatusRecently(),Marlene Vee,MarleneVee,https://t.me/MarleneVee,UserStatusLastWeek(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoinTelegraph,Dexa Coin to launch social messenger app with peer-to-peer payments,https://t.me/dexacoin,DEXA COIN - OFFICIAL,True,RK,RK_DEXA,https://t.me/RK_DEXA,UserStatusRecently(),Jordan,JORDAN_DEXA,https://t.me/JORDAN_DEXA,UserStatusRecently(),Adnan Altaf,ADNAN_ALTAF,https://t.me/ADNAN_ALTAF,UserStatusRecently(),Iron Man,MARVELDEXA,https://t.me/MARVELDEXA,UserStatusRecently(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
