name_of_project,title_of_press_release,telegram
Bitcoinist,MUNCH Project Reaches $1 Million Milestone in Charitable Donations,https://t.me/munchtokencom
Bitcoinist,CasperLabs Listing On AscendEX,https://t.me/AscendEXEnglish
Bitcoinist,CasperLabs Listing On AscendEX,https://t.me/casperblockchain
Bitcoinist,Award-winning Carbon Broker to Assist XELS with Offset Procurement and Strategy,https://t.me/xelscoin
Bitcoinist,Smoothy Listing on AscendEX,https://t.me/AscendEXEnglish
Bitcoinist,Smoothy Listing on AscendEX,https://t.me/Smoothy_finance
Bitcoinist,"Zookeeper, A New NFT Based Yield Farming DApp",https://t.me/ZooFarming
Bitcoinist,Unmarshal listing on AscendEX,https://t.me/AscendEXEnglish
Bitcoinist,Unmarshal listing on AscendEX,https://t.me/Unmarshal_Chat
Bitcoinist,Kesef Finance Cross-chain protocol making DeFi accessible to everyone,https://t.me/kesef_finance
Bitcoinist,Showcase Listing on AscendEX,https://t.me/AscendEXEnglish
Bitcoinist,Showcase Listing on AscendEX,https://t.me/Showcasechat
Bitcoinist,Crowny Listing on AscendEX,https://t.me/AscendEXEnglish
Bitcoinist,Crowny Listing on AscendEX,https://t.me/crownyio
Bitcoinist,Torum Raises $1.45M to Create The First Social Media Platform with NFT & DeFi Innovations,https://t.me/torum_official_group_en
Bitcoinist,Beyond Finance Listing On Ascendex,https://t.me/AscendEXEnglish
Bitcoinist,Beyond Finance Listing On Ascendex,https://t.me/beyondfinanceglobal
Bitcoinist,ODDZ listing on AscendEX,https://t.me/AscendEXEnglish
Bitcoinist,ODDZ listing on AscendEX,https://t.me/oddz_finance
Bitcoinist,OIN Staking On AscendEX,https://t.me/AscendEXEnglish
Bitcoinist,OIN Staking On AscendEX,https://t.me/OIN_Finance_Eng
Bitcoinist,JulSwap Listing on AscendEX,https://t.me/AscendEXEnglish
Bitcoinist,JulSwap Listing on AscendEX,https://t.me/justliquidity
Bitcoinist,Zignaly Lists on AscendEX,https://t.me/AscendEXEnglish
Bitcoinist,Zignaly Lists on AscendEX,https://t.me/joinchat/S9dMUoMZJRm6YxG8
Bitcoinist,Polkadex IDO launches on Polkastarter on the 16th of April,https://t.me/Polkadex
Bitcoinist,Polkadex IDO launches on Polkastarter on the 16th of April,https://t.me/PolkadexAnnouncements
Bitcoinist,OptionRoom Listing on AscendEX,https://t.me/AscendEXEnglish
Bitcoinist,OptionRoom Listing on AscendEX,https://t.me/OptionRoom
Bitcoinist,Omni.ai Releases Whitepaper for its Social Media Platform,https://t.me/omni_app
Bitcoinist,XELS Launches Eco-Conscious Blockchain Platform for Carbon Offset Credits,https://t.me/xelscoin
Bitcoinist,ClinTex to Give Away 1 Million USD in CTi Tokens With Unique Staking Program,https://t.me/ClinTexCTi
Bitcoinist,Xend is Listing on AscendEX,https://t.me/AscendEXEnglish
Bitcoinist,Xend is Listing on AscendEX,https://t.me/xendFinance
Bitcoinist,PARSIQ launches its highly anticipated IQ Protocol,https://t.me/parsiq_group
Bitcoinist,MDEX Passes CertiK Security Audit with Flying Colors,https://t.me/MixDex
Bitcoinist,XPOOL - a worthy project for you to invest in 2021,https://t.me/xpoolofficial
Bitcoinist,XPOOL - a worthy project for you to invest in 2021,https://t.me/xpoolofficialgroup
Bitcoinist,Hermez Lists on AscendEX,https://t.me/AscendEXEnglish
Bitcoinist,Hermez Lists on AscendEX,https://t.me/hermez_network
Bitcoinist,Persistence Listing and Integration on AscendEX,https://t.me/BitMaxioEnglishOfficial
Bitcoinist,Persistence Listing and Integration on AscendEX,https://t.me/PersistenceOneChat
Bitcoinist,Taraxa Listing on AscendEX,https://t.me/BitMaxioEnglishOfficial
Bitcoinist,Taraxa Listing on AscendEX,https://t.me/taraxa_project
Bitcoinist,BitMax Relaunches as AscendEx,https://t.me/AscendEXEnglish
Bitcoinist,"Rage.Fan, a Fan-first Fantasy Sports & uNFT Platform, Raises $1.6M",https://t.me/rage_fan_announcement
Bitcoinist,Fire Protocol to List FIRE on BitMax,https://t.me/BitMaxioEnglishOfficial
Bitcoinist,Fire Protocol to List FIRE on BitMax,https://t.me/fireprotocol
Bitcoinist,Next-Gen DeFi Platform CherrySwap Announces $3 Million Funding,https://t.me/cherryswap_1st/
Bitcoinist,DAFI to list DAFI Token with BitMax,https://t.me/BitMaxioEnglishOfficial
Bitcoinist,DAFI to list DAFI Token with BitMax,https://t.me/dafiprotocol
Bitcoinist,Netbox.Global releases the Mobile Netbox.Browser,https://t.me/netboxglobal
Bitcoinist,Gather to list GTH Token with BitMax,https://t.me/BitMaxioEnglishOfficial
Bitcoinist,Gather to list GTH Token with BitMax,https://t.me/GatherNetwork
Bitcoinist,Lien Protocol Brings Crypto-Native Options to Binance Smart Chain,https://t.me/lien_finance
Bitcoinist,Umbrella to list UMB Token with BitMax,https://t.me/BitMaxioEnglishOfficial
Bitcoinist,Umbrella to list UMB Token with BitMax,https://t.me/umbrellanet
Bitcoinist,Connect Financial to List CNFI Tokens with BitMax,https://t.me/BitMaxioEnglishOfficial
Bitcoinist,Connect Financial to List CNFI Tokens with BitMax,https://t.me/connectfinancial
Bitcoinist,ECOMI to List OMI Tokens with BitMax,https://t.me/BitMaxioEnglishOfficial
Bitcoinist,ECOMI to List OMI Tokens with BitMax,https://t.me/ecomi
Bitcoinist,EcoCelium is Now Live - Ready to Mark the Next Step in DeFi,https://t.me/ecocelium
Bitcoinist,FreeBitco.in Acquires 3.75 Billion FUN Tokens to “Strategically Promote” Adoption,https://t.me/officialFUNToken_channel
Bitcoinist,FreeBitco.in Acquires 3.75 Billion FUN Tokens to “Strategically Promote” Adoption,https://t.me/officialFUNToken
Bitcoinist,Oxygen Protocol to List OXY Tokens on BitMax,https://t.me/BitMaxioEnglishOfficial
Bitcoinist,Join Student Coin ICO and Get your Ticket to the Crypto world,https://t.me/studentcoin
Bitcoinist,"Electric Capital, Nascent Ventures invest in FLEX Coin and Notes.Finance DEX",https://t.me/coinflex_EN
Bitcoinist,MahaDAO to List MAHA and ARTH with BitMax.io,https://t.me/BitMaxioEnglishOfficial
Bitcoinist,MahaDAO to List MAHA and ARTH with BitMax.io,https://t.me/MahaDAO
Bitcoinist,Get your brand new tokens on Defiqa’s Presale,https://t.me/defiqanews
Bitcoinist,"MDEX: Rising to the DEX Challenge, a Contender for UniSwap and SushiSwap",https://t.me/MixDex
