name_of_project,title_of_press_release,telegram
CoinTelegraph,Introducing Polkally: A seamless NFT experience,https://t.me/polkally
CoinTelegraph,Introducing Polkally: A seamless NFT experience,https://t.me/polkallynews
CoinTelegraph,Troy’s revolutionary products and brokerage services to outplay the crypto market,https://t.me/troytrade_official
CoinTelegraph,KnitFinance closes heavily oversubscribed sale led by leading blockchain investors,https://t.me/knitfinance
CoinTelegraph,DeFinity to launch IDO on the OccamRazer launchpad,https://t.me/DeFinity_Community
CoinTelegraph,DeFinity to launch IDO on the OccamRazer launchpad,https://t.me/DeFinity_ANN
CoinTelegraph,DeFinity to launch IDO on the OccamRazer launchpad,https://t.me/occamfi_com
CoinTelegraph,DeFinity to launch IDO on the OccamRazer launchpad,https://t.me/occamfi
CoinTelegraph,LUB - First cryptocurrency exchange for Telegram users,https://t.me/LubTokenBot
CoinTelegraph,Dexa Coin to launch social messenger app with peer-to-peer payments,https://t.me/dexacoin
CoinTelegraph,Occam.fi and Bondly bring next-gen DeFi & NFT capabilities to Cardano,https://t.me/bondlyfinance
CoinTelegraph,Occam.fi and Bondly bring next-gen DeFi & NFT capabilities to Cardano,https://t.me/occamfi_com
CoinTelegraph,Occam.fi and Bondly bring next-gen DeFi & NFT capabilities to Cardano,https://t.me/occamfi
CoinTelegraph,OccamRazer to Launch deFIRE IDO - Powered by Changelly,https://t.me/occamfi_com
CoinTelegraph,OccamRazer to Launch deFIRE IDO - Powered by Changelly,https://t.me/occamfi
CoinTelegraph,Introducing the Swirge Finance Token: A fully decentralized token,https://t.me/swirgepay
CoinTelegraph,Introducing the Swirge Finance Token: A fully decentralized token,https://t.me/swirgepaynews
CoinTelegraph,Smartlink unveils its backers following its private sale of $500K,https://t.me/smartlinkofficial
CoinTelegraph,CV VC becomes accelerator advisor of the Occam.fi ecosystem,https://t.me/occamfi_com
CoinTelegraph,CV VC becomes accelerator advisor of the Occam.fi ecosystem,https://t.me/occamfi
CoinTelegraph,Swinate - A BSC project that links crypto with stocks and real estate,https://t.me/swinate
CoinTelegraph,Sekuritance unique approach addresses blockchain compliance challenges,https://t.me/sekuritance_SKRT
CoinTelegraph,Sekuritance unique approach addresses blockchain compliance challenges,https://t.me/sekuritance
CoinTelegraph,Bifrost SALP: Release crowdloan liquidity for participants,https://t.me/bifrost_finance
CoinTelegraph,DragonBite raises over $2.7 million within 48 hours,https://t.me/DragonBite
CoinTelegraph,Cere sold out in 1 hour on Republic for first token offering of 2021,https://t.me/cerenetwork
CoinTelegraph,Smartlink launches decentralized escrow and its own marketplace on Tezos,https://t.me/smartlinkofficial
CoinTelegraph,Start ● Chaos: Emit Epoch 1.0 officially released,https://t.me/emit_protocol
CoinTelegraph,Delio and Moneytree to launch Korea’s first BTC checkout service,https://t.me/happy_delio
CoinTelegraph,Receive 3x rewards with ETHA lend - Dodo Dual LP is live,https://t.me/ethalendcommunity
CoinTelegraph,Metis launches the first-ever community-minted NFT 'Rebuilding The Tower Of Babel',https://t.me/MetisDAO
CoinTelegraph,"Lever.Network successfully closes a $600,000 seed funding round",https://t.me/LeverNetwork
CoinTelegraph,DeFiScale added to HitBTC listing,https://t.me/dfcofficialgroup
CoinTelegraph,MOAR secures funding to increase DeFi capital efficiency and usability,https://t.me/MOARFinance
CoinTelegraph,Treasureland market beating the odds in NFT industry,https://t.me/dego_finance
CoinTelegraph,"NFT platform Corra raises funds, curates products beyond arts and gaming",http://t.me/corragroupchat
CoinTelegraph,The OCC initial decentralized exchange offering ends successfully,https://t.me/occamfi_com
CoinTelegraph,The OCC initial decentralized exchange offering ends successfully,https://t.me/occamfi
CoinTelegraph,Lever: World’s first AMM-based decentralized margin trading platform,https://t.me/LeverNetwork
CoinTelegraph,"CrossFi, liquidity empowerment for DeFi",https://t.me/CrossFi_En
CoinTelegraph,"CrossFi, liquidity empowerment for DeFi",https://t.me/CrossFi_News
CoinTelegraph,DEX leader MDEX integrates Binance Smart Chain,https://t.me/MdexEN
CoinTelegraph,DEX leader MDEX integrates Binance Smart Chain,https://t.me/MixDex
CoinTelegraph,Egoras raises $1.3M in private round,https://t.me/egorasmarket
CoinTelegraph,Alium Finance raises $2.2M during private round,https://t.me/aliumswap_official
CoinTelegraph,Mimo DeFi protocol: The world’s first decentralized euro stablecoin,https://t.me/mimodefi
CoinTelegraph,Climb Token: Revolution in the DeFi world,https://t.me/climbtoken
CoinTelegraph,Climb Token: Revolution in the DeFi world,https://t.me/climbtoken_info
CoinTelegraph,BitMax relaunches as AscendEx,https://t.me/AscendEXEnglish
CoinTelegraph,PolkaCity - A virtual city where everything is possible,https://t.me/Polkacity
CoinTelegraph,DeFi project CherrySwap announces $3M funding and listing on OKExChain,https://t.me/cherryswap_1st/
CoinTelegraph,Epik aims to empower a new infrastructure of cognitive intelligence,https://t.me/EpikProtocol
CoinTelegraph,"A review of Bifrost’s 2nd mint drop, which locked-up over $27 million",https://t.me/bifrost_finance
CoinTelegraph,How does Epik Protocol implement the Filecoin layer-two network?,https://t.me/EpikProtocol
CoinTelegraph,Disciplina aims to change the future of information sharing,https://t.me/disciplinachain
CoinTelegraph,Konomi Network raises $5 million and launches an initial DEX offering,https://t.me/konominetwork
CoinTelegraph,Next.chain: A blockchain with lightning-fast transactions at low costs,https://t.me/nextchain
CoinTelegraph,Next.chain: A blockchain with lightning-fast transactions at low costs,https://t.me/nextchainNews
CoinTelegraph,Insurance marketplace Tidal Finance raises additional $1.8 million,https://t.me/TidalGlobal
CoinTelegraph,VRM delivers big crypto buys with minimal market impact as volumes surge,https://t.me/fly_global
CoinTelegraph,Bear Games is using DeFi NFT gaming to change the narratives for NFTs,https://t.me/BearGamesChat
CoinTelegraph,Bear Games is using DeFi NFT gaming to change the narratives for NFTs,https://t.me/BearGamesAnn
CoinTelegraph,"BetConix, BNIX token and the IEO of a next-generation platform",https://t.me/joinchat/VOOBWhkpba3SYLlqUDlN-w
CoinTelegraph,"BetConix, BNIX token and the IEO of a next-generation platform",https://t.me/BETCONIX_SUPPORT_BOT
CoinTelegraph,Launchpool enables egalitarian investments for all stakeholders,https://t.me/launchpoolxyz
CoinTelegraph,"YFX, the DEX that offers 100x trading leverage on perpetual contracts",https://t.me/YFX_EN
CoinTelegraph,Join PeakDeFi - A safer way to grow your wealth,https://t.me/peakdefi_official
CoinTelegraph,Coinbase Custody to support Dvision Network (DVI),https://t.me/dvisionnetworkglobal
CoinTelegraph,Coinbase Custody to support Dvision Network (DVI),https://t.me/dvision_network
CoinTelegraph,Cocoricos skyrockets Ether staking adoption with a 142% APY,https://t.me/bycocoricos
