,id,channel id,channel name,description,admin name,admin url
0,1343,Stratis,STRAX,"Stratis (STRAX) is a cryptocurrency . Stratis has a current supply of 131,924,421.40699732. The last known price of Stratis is 1.44511889 USD and is up 5.61 over the last 24 hours. It is currently trading on 25 active market(s) with $4,558,427.70 traded over the last 24 hours. More information can be found at http://stratisplatform.com/.",cyberspoof,https://t.me/cyberspoof
1,1376,Neo,NEO,"Neo (NEO) is a cryptocurrency . Neo has a current supply of 100,000,000 with 70,538,831 in circulation. The last known price of Neo is 26.09308575 USD and is up 4.30 over the last 24 hours. It is currently trading on 217 active market(s) with $151,046,533.79 traded over the last 24 hours. More information can be found at https://neo.org/.",cyberspoof,https://t.me/cyberspoof
2,1414,Firo,FIRO,"Firo (FIRO) is a cryptocurrency launched in 2016. Users are able to generate FIRO through the process of mining. Firo has a current supply of 12,427,854.74033085 with 12,689,811.79096533 in circulation. The last known price of Firo is 5.37584592 USD and is up 7.26 over the last 24 hours. It is currently trading on 37 active market(s) with $1,862,109.47 traded over the last 24 hours. More information can be found at https://firo.org/.",cyberspoof,https://t.me/cyberspoof
3,1437,Zcash,ZEC,"Zcash (ZEC) is a cryptocurrency . Users are able to generate ZEC through the process of mining. Zcash has a current supply of 13,328,656.25. The last known price of Zcash is 161.70813379 USD and is up 10.13 over the last 24 hours. It is currently trading on 212 active market(s) with $374,871,501.62 traded over the last 24 hours. More information can be found at https://z.cash/.",cyberspoof,https://t.me/cyberspoof
4,1492,Obyte,GBYTE,"Obyte (GBYTE) is a cryptocurrency launched in 2016. Obyte has a current supply of 1,000,000 with 797,427.58750074 in circulation. The last known price of Obyte is 42.17387592 USD and is up 46.70 over the last 24 hours. It is currently trading on 5 active market(s) with $13,014.41 traded over the last 24 hours. More information can be found at https://obyte.org/.",cyberspoof,https://t.me/cyberspoof
5,1518,Maker,MKR,"Maker (MKR) is a cryptocurrency and operates on the Ethereum platform. Maker has a current supply of 987,743.6843716. The last known price of Maker is 2,483.95053171 USD and is up 11.03 over the last 24 hours. It is currently trading on 195 active market(s) with $83,942,373.43 traded over the last 24 hours. More information can be found at https://makerdao.com/.",cyberspoof,https://t.me/cyberspoof
6,1552,Enzyme,MLN,"Enzyme (MLN) is a cryptocurrency and operates on the Ethereum platform. Enzyme has a current supply of 1,824,437.31909865 with 1,792,737.62622673 in circulation. The last known price of Enzyme is 85.26606299 USD and is up 4.19 over the last 24 hours. It is currently trading on 49 active market(s) with $7,648,291.48 traded over the last 24 hours. More information can be found at https://enzyme.finance/.",cyberspoof,https://t.me/cyberspoof
7,1556,Chrono.tech,TIME,"Chrono.tech (TIME) is a cryptocurrency launched in 2016and operates on the Ethereum platform. Chrono.tech has a current supply of 710,112.81 with 710,112 in circulation. The last known price of Chrono.tech is 55.37454743 USD and is up 5.13 over the last 24 hours. It is currently trading on 8 active market(s) with $303,092.40 traded over the last 24 hours. More information can be found at https://chrono.tech/.",cyberspoof,https://t.me/cyberspoof
8,1567,Nano,XNO,"Nano (XNO) is a cryptocurrency launched in 2015. Nano has a current supply of 133,248,297.197. The last known price of Nano is 3.38923235 USD and is up 4.51 over the last 24 hours. It is currently trading on 46 active market(s) with $22,924,206.38 traded over the last 24 hours. More information can be found at http://nano.org/en.",cyberspoof,https://t.me/cyberspoof
9,1586,Ark,ARK,"Ark (ARK) is a cryptocurrency launched in 2016. Ark has a current supply of 161,278,856 with 133,849,097.4841808 in circulation. The last known price of Ark is 1.2825812 USD and is down -1.57 over the last 24 hours. It is currently trading on 21 active market(s) with $11,747,181.49 traded over the last 24 hours. More information can be found at http://ark.io/.",cyberspoof,https://t.me/cyberspoof
